ID_code,AC(v8.5_old_py),diff%_AC(v8.5_old_py),AH(v8.5_old_py),diff%_AH(v8.5_old_py),AT(v8.5_old_py),diff%_AT(v8.5_old_py),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),Delta_AC%_(v22.2-8.7_new),Delta_AH%_(v22.2-8.7_new),Delta_AT%_(v22.2-8.7_new)
B2_O_L1_Base_S_0.12_5.9_TS1,2736.52,0.0,916.57,0.0,3653.09,0.0,2734.61,0.0,915.81,0.0,3650.42,0.0,2738.41,0.0,914.69,0.0,3653.1,0.0,0.14,-0.12,0.07
B2_O_L2_Base_S_0.12_5.9_TS1,683.44,0.0,3783.17,0.0,4466.610000000001,0.0,681.78,0.0,3780.43,0.0,4462.21,0.0,681.14,0.0,3795.77,0.0,4476.91,0.0,-0.09,0.41,0.33
B2_O_L1_DG_E_0.2_0.8_TS2,2616.41,-4.39,895.45,-2.3,3511.8599999999997,-3.87,2654.59,-2.93,875.48,-4.4,3530.07,-3.3,2656.95,-2.97,866.93,-5.22,3523.88,-3.54,0.09,-0.98,-0.18
B2_O_L1_DG_E_0.2_0.8_TS3,2640.41,-3.51,881.93,-3.78,3522.3399999999997,-3.58,2677.14,-2.1,856.99,-6.42,3534.13,-3.19,2680.44,-2.12,852.79,-6.77,3533.23,-3.28,0.12,-0.49,-0.03
B2_O_L1_DG_E_0.2_2.3_TS2,2663.28,-2.68,884.24,-3.53,3547.5200000000004,-2.89,2661.11,-2.69,883.85,-3.49,3544.96,-2.89,2663.74,-2.73,879.21,-3.88,3542.95,-3.02,0.1,-0.52,-0.06
B2_O_L1_DG_E_0.2_2.3_TS3,2686.18,-1.84,866.33,-5.48,3552.5099999999998,-2.75,2683.98,-1.85,866.15,-5.42,3550.13,-2.75,2686.49,-1.9,859.27,-6.06,3545.76,-2.94,0.09,-0.79,-0.12
B2_O_L1_DG_E_0.6_0.8_TS2,2771.57,1.28,814.01,-11.19,3585.58,-1.85,2894.43,5.84,762.0,-16.79,3656.43,0.16,2898.44,5.84,757.94,-17.14,3656.38,0.09,0.14,-0.53,-0.0
B2_O_L1_DG_E_0.6_0.8_TS3,2785.92,1.81,800.3,-12.69,3586.2200000000003,-1.83,2899.82,6.04,742.71,-18.9,3642.53,-0.22,2903.88,6.04,736.27,-19.51,3640.15,-0.35,0.14,-0.87,-0.07
B2_O_L1_DG_E_0.6_2.3_TS2,2887.37,5.51,785.51,-14.3,3672.88,0.54,2884.88,5.5,782.26,-14.58,3667.1400000000003,0.46,2888.39,5.48,780.37,-14.68,3668.76,0.43,0.12,-0.24,0.04
B2_O_L1_DG_E_0.6_2.3_TS3,2888.03,5.54,763.95,-16.65,3651.9800000000005,-0.03,2884.8,5.49,763.1,-16.67,3647.9,-0.07,2887.84,5.46,758.98,-17.02,3646.82,-0.17,0.11,-0.54,-0.03
B2_O_L1_DG_S_0.2_0.8_TS2,2660.47,-2.78,914.67,-0.21,3575.14,-2.13,2686.5,-1.76,877.11,-4.23,3563.61,-2.38,2689.23,-1.8,874.4,-4.4,3563.63,-2.45,0.1,-0.31,0.0
B2_O_L1_DG_S_0.2_0.8_TS3,2681.64,-2.01,901.71,-1.62,3583.35,-1.91,2705.92,-1.05,865.09,-5.54,3571.01,-2.18,2708.1,-1.11,863.15,-5.63,3571.25,-2.24,0.08,-0.22,0.01
B2_O_L1_DG_S_0.2_2.3_TS2,2692.3,-1.62,882.49,-3.72,3574.79,-2.14,2690.6,-1.61,882.9,-3.59,3573.5,-2.11,2693.11,-1.65,882.29,-3.54,3575.4,-2.13,0.09,-0.07,0.05
B2_O_L1_DG_S_0.2_2.3_TS3,2709.44,-0.99,868.34,-5.26,3577.78,-2.06,2707.42,-0.99,871.37,-4.85,3578.79,-1.96,2709.88,-1.04,866.77,-5.24,3576.65,-2.09,0.09,-0.53,-0.06
B2_O_L1_DG_S_0.6_0.8_TS2,2771.84,1.29,785.41,-14.31,3557.25,-2.62,2846.49,4.09,705.58,-22.96,3552.0699999999997,-2.69,2849.08,4.04,705.7,-22.85,3554.78,-2.69,0.09,0.02,0.08
B2_O_L1_DG_S_0.6_0.8_TS3,2782.45,1.68,783.29,-14.54,3565.74,-2.39,2847.08,4.11,710.3,-22.44,3557.38,-2.55,2849.51,4.06,707.62,-22.64,3557.13,-2.63,0.09,-0.38,-0.01
B2_O_L1_DG_S_0.6_2.3_TS2,2837.27,3.68,725.19,-20.88,3562.46,-2.48,2835.01,3.67,724.43,-20.9,3559.44,-2.49,2838.87,3.67,721.79,-21.09,3560.66,-2.53,0.14,-0.36,0.03
B2_O_L1_DG_S_0.6_2.3_TS3,2833.24,3.53,726.1,-20.78,3559.3399999999997,-2.57,2830.55,3.51,727.8,-20.53,3558.3500000000004,-2.52,2833.59,3.48,722.55,-21.01,3556.14,-2.65,0.11,-0.72,-0.06
B2_O_L1_DG_W_0.2_0.8_TS2,2617.8,-4.34,864.33,-5.7,3482.13,-4.68,2648.62,-3.14,843.55,-7.89,3492.17,-4.34,2650.62,-3.21,839.17,-8.26,3489.79,-4.47,0.08,-0.52,-0.07
B2_O_L1_DG_W_0.2_0.8_TS3,2638.8,-3.57,848.28,-7.45,3487.08,-4.54,2665.85,-2.51,828.38,-9.55,3494.23,-4.28,2667.53,-2.59,823.54,-9.97,3491.07,-4.44,0.06,-0.58,-0.09
B2_O_L1_DG_W_0.2_2.3_TS2,2656.48,-2.92,855.09,-6.71,3511.57,-3.87,2654.63,-2.92,854.84,-6.66,3509.4700000000003,-3.86,2656.81,-2.98,850.71,-6.99,3507.52,-3.99,0.08,-0.48,-0.06
B2_O_L1_DG_W_0.2_2.3_TS3,2671.94,-2.36,840.23,-8.33,3512.17,-3.86,2669.88,-2.37,836.81,-8.63,3506.69,-3.94,2672.03,-2.42,835.28,-8.68,3507.31,-3.99,0.08,-0.18,0.02
B2_O_L1_DG_W_0.6_0.8_TS2,2728.72,-0.29,782.98,-14.57,3511.7,-3.87,2833.41,3.61,739.78,-19.22,3573.1899999999996,-2.12,2836.22,3.57,738.19,-19.3,3574.41,-2.15,0.1,-0.21,0.03
B2_O_L1_DG_W_0.6_0.8_TS3,2738.85,0.09,777.64,-15.16,3516.49,-3.74,2823.67,3.26,732.07,-20.06,3555.7400000000002,-2.59,2825.91,3.2,726.87,-20.53,3552.78,-2.75,0.08,-0.71,-0.08
B2_O_L1_DG_W_0.6_2.3_TS2,2832.76,3.52,768.18,-16.19,3600.94,-1.43,2830.36,3.5,769.33,-15.99,3599.69,-1.39,2833.59,3.48,762.69,-16.62,3596.28,-1.56,0.11,-0.86,-0.09
B2_O_L1_DG_W_0.6_2.3_TS3,2815.74,2.89,757.9,-17.31,3573.64,-2.17,2813.1,2.87,756.69,-17.37,3569.79,-2.21,2815.86,2.83,754.62,-17.5,3570.48,-2.26,0.1,-0.27,0.02
B2_O_L2_DG_E_0.2_0.8_TS2,642.0,-6.06,3757.12,-0.69,4399.12,-1.51,654.18,-4.05,3709.86,-1.87,4364.04,-2.2,653.0,-4.13,3724.44,-1.88,4377.44,-2.22,-0.18,0.39,0.31
B2_O_L2_DG_E_0.2_0.8_TS3,670.95,-1.83,3611.2,-4.55,4282.15,-4.13,684.79,0.44,3572.98,-5.49,4257.77,-4.58,683.77,0.39,3576.45,-5.78,4260.22,-4.84,-0.15,0.1,0.06
B2_O_L2_DG_E_0.2_1.0_TS2,641.35,-6.16,3762.1,-0.56,4403.45,-1.41,653.67,-4.12,3730.79,-1.31,4384.46,-1.74,652.55,-4.2,3741.87,-1.42,4394.42,-1.84,-0.17,0.3,0.23
B2_O_L2_DG_E_0.2_1.0_TS3,670.24,-1.93,3621.34,-4.28,4291.58,-3.92,683.66,0.28,3582.67,-5.23,4266.33,-4.39,682.87,0.25,3593.66,-5.32,4276.53,-4.48,-0.12,0.31,0.24
B2_O_L2_DG_E_0.6_0.8_TS2,702.07,2.73,3580.69,-5.35,4282.76,-4.12,751.07,10.16,3475.07,-8.08,4226.14,-5.29,749.81,10.08,3480.58,-8.3,4230.39,-5.51,-0.17,0.16,0.1
B2_O_L2_DG_E_0.6_0.8_TS3,733.73,7.36,3437.82,-9.13,4171.55,-6.61,783.58,14.93,3326.22,-12.01,4109.8,-7.9,782.08,14.82,3339.47,-12.02,4121.55,-7.94,-0.19,0.4,0.29
B2_O_L2_DG_E_0.6_1.0_TS2,699.26,2.31,3609.05,-4.6,4308.31,-3.54,738.54,8.33,3520.92,-6.86,4259.46,-4.54,737.23,8.23,3528.21,-7.05,4265.44,-4.72,-0.18,0.21,0.14
B2_O_L2_DG_E_0.6_1.0_TS3,730.3,6.86,3462.53,-8.48,4192.83,-6.13,772.95,13.37,3373.36,-10.77,4146.31,-7.08,772.4,13.4,3374.93,-11.09,4147.33,-7.36,-0.07,0.05,0.02
B2_O_L2_DG_S_0.2_0.8_TS2,652.48,-4.53,3781.83,-0.04,4434.3099999999995,-0.72,661.97,-2.91,3705.25,-1.99,4367.22,-2.13,660.8,-2.99,3718.34,-2.04,4379.14,-2.18,-0.18,0.35,0.27
B2_O_L2_DG_S_0.2_0.8_TS3,682.31,-0.17,3637.35,-3.85,4319.66,-3.29,693.29,1.69,3567.93,-5.62,4261.219999999999,-4.5,691.94,1.59,3574.13,-5.84,4266.07,-4.71,-0.19,0.17,0.11
B2_O_L2_DG_S_0.2_1.0_TS2,651.69,-4.65,3791.68,0.22,4443.37,-0.52,660.63,-3.1,3726.95,-1.41,4387.58,-1.67,659.29,-3.21,3730.59,-1.72,4389.88,-1.94,-0.2,0.1,0.05
B2_O_L2_DG_S_0.2_1.0_TS3,681.32,-0.31,3644.91,-3.65,4326.23,-3.14,691.65,1.45,3585.19,-5.16,4276.84,-4.15,690.6,1.39,3587.27,-5.49,4277.87,-4.45,-0.15,0.06,0.02
B2_O_L2_DG_S_0.6_0.8_TS2,718.26,5.09,3506.29,-7.32,4224.55,-5.42,757.9,11.16,3340.85,-11.63,4098.75,-8.15,756.39,11.05,3346.06,-11.85,4102.45,-8.36,-0.2,0.16,0.09
B2_O_L2_DG_S_0.6_0.8_TS3,689.96,0.95,3564.16,-5.79,4254.12,-4.76,792.29,16.21,3224.07,-14.72,4016.36,-9.99,791.75,16.24,3228.32,-14.95,4020.07,-10.2,-0.07,0.13,0.09
B2_O_L2_DG_S_0.6_1.0_TS2,715.04,4.62,3537.02,-6.51,4252.0599999999995,-4.8,739.58,8.48,3380.35,-10.58,4119.93,-7.67,738.33,8.4,3383.47,-10.86,4121.8,-7.93,-0.17,0.09,0.05
B2_O_L2_DG_S_0.6_1.0_TS3,745.96,9.15,3406.81,-9.95,4152.77,-7.03,771.44,13.15,3264.75,-13.64,4036.19,-9.55,770.42,13.11,3264.96,-13.98,4035.38,-9.86,-0.13,0.01,-0.02
B2_O_L2_DG_W_0.2_0.8_TS2,646.31,-5.43,3724.85,-1.54,4371.16,-2.14,655.22,-3.9,3677.35,-2.73,4332.57,-2.91,654.06,-3.98,3692.85,-2.71,4346.91,-2.9,-0.18,0.42,0.33
B2_O_L2_DG_W_0.2_0.8_TS3,672.78,-1.56,3580.24,-5.36,4253.0199999999995,-4.78,682.98,0.18,3538.51,-6.4,4221.49,-5.39,681.98,0.12,3549.57,-6.49,4231.55,-5.48,-0.15,0.31,0.24
B2_O_L2_DG_W_0.2_1.0_TS2,646.1,-5.46,3729.54,-1.42,4375.64,-2.04,654.68,-3.97,3698.45,-2.17,4353.13,-2.44,653.45,-4.07,3708.29,-2.3,4361.74,-2.57,-0.19,0.27,0.2
B2_O_L2_DG_W_0.2_1.0_TS3,672.15,-1.65,3584.71,-5.25,4256.86,-4.7,682.25,0.07,3558.98,-5.86,4241.23,-4.95,681.2,0.01,3564.33,-6.1,4245.53,-5.17,-0.15,0.15,0.1
B2_O_L2_DG_W_0.6_0.8_TS2,689.96,0.95,3564.16,-5.79,4254.12,-4.76,733.74,7.62,3464.95,-8.35,4198.69,-5.91,732.46,7.53,3472.18,-8.53,4204.64,-6.08,-0.17,0.21,0.14
B2_O_L2_DG_W_0.6_0.8_TS3,718.79,5.17,3426.85,-9.42,4145.639999999999,-7.19,760.73,11.58,3336.56,-11.74,4097.29,-8.18,759.06,11.44,3338.96,-12.03,4098.02,-8.46,-0.22,0.07,0.02
B2_O_L2_DG_W_0.6_1.0_TS2,687.51,0.6,3588.99,-5.13,4276.5,-4.26,725.25,6.38,3513.26,-7.07,4238.51,-5.01,723.68,6.25,3518.9,-7.29,4242.58,-5.23,-0.22,0.16,0.1
B2_O_L2_DG_W_0.6_1.0_TS3,716.2,4.79,3456.49,-8.64,4172.69,-6.58,752.33,10.35,3372.89,-10.78,4125.22,-7.55,750.88,10.24,3381.51,-10.91,4132.39,-7.7,-0.19,0.26,0.17
B2_O_L1_DS_E_0.2_0.8_TS2,2831.06,3.45,771.86,-15.79,3602.92,-1.37,2940.13,7.52,705.74,-22.94,3645.87,-0.12,2944.42,7.52,703.85,-23.05,3648.27,-0.13,0.15,-0.27,0.07
B2_O_L1_DS_E_0.2_2.3_TS2,2915.02,6.52,741.7,-19.08,3656.7200000000003,0.1,2911.04,6.45,739.64,-19.24,3650.68,0.01,2916.31,6.5,735.82,-19.56,3652.13,-0.03,0.18,-0.52,0.04
B2_O_L1_DS_E_0.6_0.8_TS2,3043.52,11.22,691.5,-24.56,3735.02,2.24,3244.09,18.63,617.49,-32.57,3861.58,5.78,3248.59,18.63,612.43,-33.05,3861.02,5.69,0.14,-0.82,-0.01
B2_O_L1_DS_E_0.6_2.3_TS2,3169.45,15.82,663.46,-27.61,3832.91,4.92,3163.46,15.68,664.87,-27.4,3828.33,4.87,3170.63,15.78,657.23,-28.15,3827.86,4.78,0.23,-1.15,-0.01
B2_O_L1_DS_S_0.2_0.8_TS2,2938.2,7.37,779.53,-14.95,3717.7299999999996,1.77,3075.5,12.47,723.25,-21.03,3798.75,4.06,3079.56,12.46,712.67,-22.09,3792.23,3.81,0.13,-1.46,-0.17
B2_O_L1_DS_S_0.2_2.3_TS2,3051.58,11.51,750.49,-18.12,3802.0699999999997,4.08,3047.77,11.45,749.02,-18.21,3796.79,4.01,3053.16,11.49,746.11,-18.43,3799.27,4.0,0.18,-0.39,0.07
B2_O_L1_DS_S_0.6_0.8_TS2,3119.52,14.0,690.36,-24.68,3809.88,4.29,3329.83,21.77,618.54,-32.46,3948.37,8.16,3332.91,21.71,611.78,-33.12,3944.69,7.98,0.09,-1.09,-0.09
B2_O_L1_DS_S_0.6_2.3_TS2,3252.35,18.85,654.15,-28.63,3906.5,6.94,3247.23,18.75,651.64,-28.85,3898.87,6.81,3253.41,18.81,646.11,-29.36,3899.52,6.75,0.19,-0.85,0.02
B2_O_L1_DS_W_0.2_0.8_TS2,2812.1,2.76,745.04,-18.71,3557.14,-2.63,2914.28,6.57,688.62,-24.81,3602.9,-1.3,2916.99,6.52,679.99,-25.66,3596.98,-1.54,0.09,-1.25,-0.16
B2_O_L1_DS_W_0.2_2.3_TS2,2890.27,5.62,719.87,-21.46,3610.14,-1.18,2887.39,5.59,718.94,-21.5,3606.33,-1.21,2892.23,5.62,716.02,-21.72,3608.25,-1.23,0.17,-0.41,0.05
B2_O_L1_DS_W_0.6_0.8_TS2,2983.03,9.01,676.09,-26.24,3659.1200000000003,0.17,3162.02,15.63,605.31,-33.9,3767.33,3.2,3164.13,15.55,598.42,-34.58,3762.55,3.0,0.07,-1.14,-0.13
B2_O_L1_DS_W_0.6_2.3_TS2,3102.5,13.37,652.68,-28.79,3755.18,2.79,3099.14,13.33,651.98,-28.81,3751.12,2.76,3104.28,13.36,646.89,-29.28,3751.17,2.68,0.17,-0.78,0.0
B2_O_L2_DS_E_0.2_0.8_TS2,736.82,7.81,3650.58,-3.5,4387.4,-1.77,783.53,14.92,3524.56,-6.77,4308.09,-3.45,782.83,14.93,3532.02,-6.95,4314.85,-3.62,-0.09,0.21,0.16
B2_O_L2_DS_E_0.2_1.0_TS2,734.7,7.5,3674.76,-2.87,4409.46,-1.28,771.3,13.13,3566.58,-5.66,4337.88,-2.79,770.06,13.05,3571.97,-5.9,4342.03,-3.01,-0.16,0.15,0.1
B2_O_L2_DS_E_0.6_0.8_TS2,848.64,24.17,3497.28,-7.56,4345.92,-2.7,930.28,36.45,3323.77,-12.08,4254.05,-4.66,929.84,36.51,3324.54,-12.41,4254.38,-4.97,-0.05,0.02,0.01
B2_O_L2_DS_E_0.6_1.0_TS2,837.05,22.48,3549.98,-6.16,4387.03,-1.78,887.47,30.17,3403.47,-9.97,4290.94,-3.84,886.56,30.16,3408.52,-10.2,4295.08,-4.06,-0.1,0.15,0.1
B2_O_L2_DS_S_0.2_0.8_TS2,769.61,12.61,3659.63,-3.27,4429.24,-0.84,827.64,21.39,3526.98,-6.7,4354.62,-2.41,826.4,21.33,3531.02,-6.97,4357.42,-2.67,-0.15,0.11,0.06
B2_O_L2_DS_S_0.2_1.0_TS2,765.13,11.95,3674.36,-2.88,4439.49,-0.61,813.27,19.29,3563.46,-5.74,4376.73,-1.92,811.56,19.15,3565.35,-6.07,4376.91,-2.23,-0.21,0.05,0.0
B2_O_L2_DS_S_0.6_0.8_TS2,897.53,31.33,3446.27,-8.91,4343.8,-2.75,976.1,43.17,3245.47,-14.15,4221.57,-5.39,975.72,43.25,3252.4,-14.32,4228.12,-5.56,-0.04,0.21,0.16
B2_O_L2_DS_S_0.6_1.0_TS2,885.31,29.54,3494.33,-7.63,4379.639999999999,-1.95,928.05,36.12,3323.48,-12.09,4251.53,-4.72,927.63,36.19,3325.86,-12.38,4253.49,-4.99,-0.05,0.07,0.05
B2_O_L2_DS_W_0.2_0.8_TS2,731.8,7.08,3626.34,-4.15,4358.14,-2.43,776.48,13.89,3496.44,-7.51,4272.92,-4.24,775.61,13.87,3502.55,-7.72,4278.16,-4.44,-0.11,0.17,0.12
B2_O_L2_DS_W_0.2_1.0_TS2,728.48,6.59,3646.29,-3.62,4374.77,-2.06,766.21,12.38,3540.39,-6.35,4306.6,-3.49,765.22,12.34,3542.92,-6.66,4308.14,-3.77,-0.13,0.07,0.04
B2_O_L2_DS_W_0.6_0.8_TS2,828.86,21.28,3486.25,-7.85,4315.11,-3.39,910.14,33.49,3312.96,-12.37,4223.1,-5.36,909.22,33.49,3311.55,-12.76,4220.77,-5.72,-0.1,-0.04,-0.06
B2_O_L2_DS_W_0.6_1.0_TS2,819.24,19.87,3536.97,-6.51,4356.21,-2.47,872.44,27.97,3393.31,-10.24,4265.75,-4.4,871.99,28.02,3398.47,-10.47,4270.46,-4.61,-0.05,0.15,0.11
B2_O_L1_MW_E_0.2_0.8_TS2,2789.21,1.93,859.71,-6.2,3648.92,-0.11,2786.9,1.91,860.29,-6.06,3647.19,-0.09,2791.11,1.92,852.96,-6.75,3644.07,-0.25,0.15,-0.85,-0.09
B2_O_L1_MW_E_0.2_0.8_TS3,2757.19,0.76,862.52,-5.9,3619.71,-0.91,2754.92,0.74,860.1,-6.08,3615.02,-0.97,2758.72,0.74,855.86,-6.43,3614.58,-1.05,0.14,-0.49,-0.01
B2_O_L1_MW_E_0.2_2.3_TS2,2778.52,1.53,872.56,-4.8,3651.08,-0.06,2775.97,1.51,870.92,-4.9,3646.89,-0.1,2779.93,1.52,866.93,-5.22,3646.86,-0.17,0.14,-0.46,-0.0
B2_O_L1_MW_E_0.2_2.3_TS3,2746.12,0.35,872.43,-4.82,3618.5499999999997,-0.95,2743.88,0.34,875.06,-4.45,3618.94,-0.86,2747.82,0.34,867.58,-5.15,3615.4,-1.03,0.14,-0.85,-0.1
B2_O_L1_MW_E_0.6_0.8_TS2,2952.04,7.88,794.99,-13.26,3747.0299999999997,2.57,2949.43,7.86,791.53,-13.57,3740.96,2.48,2952.61,7.82,787.72,-13.88,3740.33,2.39,0.11,-0.48,-0.02
B2_O_L1_MW_E_0.6_0.8_TS3,2852.3,4.23,808.28,-11.81,3660.58,0.21,2849.59,4.2,808.48,-11.72,3658.07,0.21,2852.97,4.18,803.4,-12.17,3656.37,0.09,0.12,-0.63,-0.05
B2_O_L1_MW_E_0.6_2.3_TS2,2926.6,6.95,831.63,-9.27,3758.23,2.88,2923.87,6.92,831.06,-9.25,3754.93,2.86,2926.96,6.89,826.89,-9.6,3753.85,2.76,0.11,-0.5,-0.03
B2_O_L1_MW_E_0.6_2.3_TS3,2829.67,3.4,838.81,-8.48,3668.48,0.42,2827.03,3.38,835.56,-8.76,3662.59,0.33,2830.48,3.36,832.6,-8.97,3663.08,0.27,0.12,-0.35,0.01
B2_O_L1_MW_S_0.2_0.8_TS2,2824.42,3.21,850.19,-7.24,3674.61,0.59,2822.48,3.21,851.97,-6.97,3674.45,0.66,2825.8,3.19,849.32,-7.15,3675.12,0.6,0.12,-0.31,0.02
